,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,11 Comae Berenices b,305.0,19.4 Jupiters,4.74,2007,Gas Giant,2007,19.4 Jupiters,1.08 x Jupiter,1.29 AU,,,,,,,,,
1,11 Ursae Minoris b,410.0,14.74 Jupiters,5.016,2009,Gas Giant,2009,14.74 Jupiters,1.09 x Jupiter,1.53 AU,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
2,14 Andromedae b,247.0,4.8 Jupiters,5.227,2008,Gas Giant,2008,4.8 Jupiters,1.15 x Jupiter,0.83 AU,,,,,,,,,
3,14 Herculis b,59.0,4.66 Jupiters,6.61,2002,Gas Giant,2002,4.66 Jupiters,1.15 x Jupiter,2.93 AU,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
4,16 Cygni B b,69.0,1.78 Jupiters,6.25,1996,Gas Giant,1996,1.78 Jupiters,1.2 x Jupiter,1.66 AU,,,,,,,,,
5,18 Delphini b,249.0,10.3 Jupiters,5.506,2008,Gas Giant,2008,10.3 Jupiters,1.11 x Jupiter,2.6 AU,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,12.057,2008,Gas Giant,2008,8 Jupiters,1.664 x Jupiter,330.0 AU,,,,,,,,,
7,24 Bootis b,314.0,0.91 Jupiters,5.58,2018,Gas Giant,2018,0.91 Jupiters,1.24 x Jupiter,0.19 AU,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
8,24 Sextantis b,236.0,1.99 Jupiters,6.441,2010,Gas Giant,2010,1.99 Jupiters,1.19 x Jupiter,1.333 AU,,,,,,,,,
9,24 Sextantis c,236.0,0.86 Jupiters,6.441,2010,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,2.08 AU,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
10,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,,2013,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,,,,,,,,,
11,2MASS J01225093-2439505 b,117.0,24.5 Jupiters,14.24,2013,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
12,2MASS J02192210-3925225 b,129.0,13.9 Jupiters,15.012,2015,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,,,,,,,,,
13,2MASS J04414489+2301513 b,457.0,7.5 Jupiters,18.967,2010,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
14,2MASS J12073346-3932539 b,210.0,4 Jupiters,20.15,2004,Gas Giant,2004,4 Jupiters,1.16 x Jupiter,46.0 AU,,,,,,,,,
15,2MASS J19383260+4603591 b,1307.0,1.9 Jupiters,12.138,2015,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
16,2MASS J21402931+1625183 A b,82.0,20.95 Jupiters,17.396,2009,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,,,,,,,,,
