,Star_name,Distance,Mass,Radius
2,LHS 102BC,,,2002
14,2MASS J00034227-2822410,,,n/a
31,2MASS J02511327+0047364,,,n/a
117,TWA 27A,,,
118,TWA 27B,,,
177,2MASS J14112131-2119503,,,n/a
26,2MASS J02103857-3015313,101,1.53,n/a
129,2MASS J13204427+0409045,101,1.01,n/a
194,WISE 0038+8405,101.8,,2010
67,2MASS J06085283-2753583,102,1.51,n/a
273,WISE 1147-2040,102,,2010
140,CFBDSIR 1458+10A,104,1.5,2010
141,CFBDSIR 1458+10B,104,1.3,2010
168,2MASS J20004841-7523070,105,1.88,n/a
215,WISE 0316+4307,106.3,,2010
314,WISE 1830+4542,107,,2010
99,2MASSI J1017075+130839 [de],108,,2003
171,2MASSW J2101154+175658,108,,n/a
288,WISE 1506+7027,11.1,,2010
157,2MASS J16262034+3925190 [de],110,1.03,2004
25,SDSS J020742.48+000056.2 [de],111,0.97,n/a
350,WISEA 1101+5400,111,,2017
174,HB 2124-4228,113,1.21,n/a
161,2MASSI J1726000+153819,114,1.40,n/a
124,2MASSW J1239272+551537 [de],119,,2000
32,Teegarden's star,12.578,1.27,2003
351,2M1510,120,,2002
115,2MASS J11544223-3400390 [de],129,1.50,2003
104,DEN 1048-3956,13.15,1.07,2000
75,UGPS J072227.51-054031.2,13.4,0.98,2010
20,2MASS J01415823-4633574 [de],130,1.61,
48,DENIS-P J035726.9-441730 [de],130,,n/a
8,2MASS J00332386-1521309 [de],131,1.43,n/a
315,WISE 1841+7000,131.1,,2010
113,TWA 26,137,2.20,
166,2MASSW J1841086+311727,138,1.01,n/a
53,2MASS J04362788-4114465,142,1.97,n/a
198,WISE 0106+1518,142.9,,2010
4,2MASS J00250365+4759191AB,143,,
185,2MASS J23225299-6151275,148,1.59,n/a
134,SDSS J141659.78+500626.4 [de],149,0.99,2006
28,2MASS J02411151-0326587 [de],152,1.41,n/a
179,2MASSW J2208136+292121,154,1.41,n/a
27,2MASS J02340093-6442068,155,1.62,n/a
82,DENIS J081730.0-615520,16.1,0.94,2010
35,DEN 0255-4700,16.2,0.97,2006
299,WISE 1639-6847,16.3,,2010
19,2MASSI J0117474-340325 [de],163,1.62,
109,Cha 110913-773444,163,1.8,2005
